cluster_id,observed_mention,decision,first_document_date,proposal_1_canonical_id,proposal_1_canonical_name,proposal_1_score,reviewer,evidence_note,source_context
VC00025,Sandys,uncertain,"APRIL 30, 1621",person_edwin_sandys,Sir Edwin Sandys,1,,,"APRIL 30, 1621: APRIL 30, 1621 Capt. Nowce. Mr. Wheatly. Mr. Rugles. Mr.
Geo: Sandys. Mr. Boothby. Mr. Widdowes. Doctor Anthony. Mr. Barbor. Mr.
Baynain. Mr. Smith. Mr. Couell. Mr. Kwens. Mr. Shepperd. Mr. Combs. Mr.
Steward. Mr. Bull. Captain Tucker. Mr. Casewell. Whereas it hath been taken
into consideration || JUNE 25, 1621: s charge which amounted to the Sume of
at least 150, the same having been againe taken into consideration at this
last meeting and finding the Companies Stocke no way able to performe the
same (as things now stood) It pleased Mr. Sandys out of a desire to advance
so hopefull a worke and to ease the Company of the present charge to offer to
take the said Italians to himselfe in leiu of those men that were to be
allowed him by the Company in respect of his office"
VC00028,Lady Dale,reject,"JUNE 11, 1621",person_thomas_dale,Sir Thomas Dale,1,,,"JUNE 11, 1621: fit a Pinace should be provided to be ready against
September next for carrying the Silkworme seed for which my Lord had writ
into Italy, France, and Spayne, which is promised to be here by that time. He
further signified that my Lady Dale, late the wife of Sir Thomas Dale
deceased, that worthy Knight and great advancer of the Virginia Action,
desired a Patent for a particular Plantation which was granted and that
direction should be given to the Governor to allot || JUNE 13, 1621: y back
from Virginia to give satisfaction here if need did require, it was thought
fit that Mr. Hide, and Mr. Earle did consider of this point and examine the
authority of the Company touching the same. The Patent granted to my Lady
Dale for a particular Plantation in Virginia being drawn in the usual forme
and now presented to be read was referred to a Committee to peruse the same;
which being approved by them, order was given to Mr. Deputy to affixe the
Seal th"
VC00029,Robert Smith,reject,"MAY 2, 1621",person_john_smith,Captain John Smith,0.792,,,"MAY 2, 1621: amuell Sandys, Sr. Nicholas Tufton, Sr. Iohn Dauers, Sr.
Walter Earle, Sr. Richard Worsley, Sr. Henry Rainsford, Sr. Francis Wyate,
Mr. Deputy Ferrar, Mr. George Sandys, Captain Tucker, Mr. Toby Palavicine,
Captain Wm. Newce, Mr. Robert Smith, Mr. Thomas Gibbs, Captain Bargraue, Mr.
Challon, Mr. John Zouch, Mr. Wm. Oxenbridge, Mr. Porter, Mr. Iohn Smith, Mr.
Kempe, Mr. Moone, Doctor Winstone, Mr. Henry Rainsford, Mr. Jefferson, Doctor
Anthony, Mr. Edw: Gibbs, Mr. Shep || OCTOBER 24, 1621: OCTOBER 24, 1621 At A
Court HELD the 24th of October 1621. Mr. Deputy. Mr. Abra: Chamberlyne. Mr.
Widdowes. Mr. Gibbs. Mr. Berblock. Mr. Baynam. Doctor Winstone. Mr. Blande.
Mr. Bolton. Mr. Robert Smith. Mr. Bull. Mr. Meuerell. Mr. Iohn Smith. Mr.
Bennett. Mr. Morewoode. Mr. Nich: Ferrar. Mr. Ayres. Mr. Lambe. Captaine
Bargraue. Mr. Wiseman. Mr. Georg Smith. Mr. Tomlynis. Mr. Darnelly. Mr.
Roberté. Mr. Stewarde. Mr. Caswell. Mr."
VC00030,Roger Smith,reject,"DECEMBER 13, 1620",person_john_smith,Captain John Smith,0.8,,,"DECEMBER 13, 1620: e Shippe now bound for Virginia: whereupon the Court
entreated Sir Edwin Sandys to take some paines therein as he had often
formerly done in the like kind at whose request he was pleased to undertake
the dispatch thereof. Captain Roger Smith being desirous to goe this present
voyage to Virginia, moved that he might have the charge of some of those
people that were now sent to be the Companies Tenants. And further that the
Company would please to bestow upon him some || DECEMBER 4, 1621: ourable
endeavour to aduance the same, hath therefore made choice of a select
Committee to take it into their consideration, viz. Sir Iohn Dauers, Mr.
Wheatly, Mr. Gibbs, Mr. Ayres, Mr. Wrote, Mr. Rogers, Mr. Nicholas Farrar,
Mr. Roger Smith, Mr. Abraham Chamblen, Mr. Baynham, Mr. Mellinge, or any 5 of
them who for the better expedition of the business in regard of Mr. Leeke's
sodaine going into the Country are desired to meet this next Friday being the
6th of this p"
VC00031,Rolfe,uncertain,"APRIL 30, 1621",person_john_rolfe,John Rolfe,1,,,"APRIL 30, 1621: nty pounds more than his former stipend in respect of his
paines extraordinary. Sir John Dauers signified that it was the request of my
Lady Lawarre unto this Court that in consideration of her goods remaining in
the hands of Mr. Rolfe in Virginia she might receive satisfaction for the
same out of his Tobacco now sent home. But for so much as it is supposed the
said Tobacco is none of the said Rolfe's, but belonged to Mr. Peirce, it was
thought fit that Mr. Hen || JUNE 11, 1621: next Court to determine thereof.
Touching Mr. Franck's request that Lieutenant Pearce might be required to
give satisfaction unto Mr. Franck for the charge of 4 men and the goods sent
unto his sons upon the last supply which Mr. Rolfe took into his possession
to Mr. Peirce's use, the Court ordered that for so much as it appeared there
was some reckoning between Mr. Franck and Mr. Peirce not yet reconciled nor
brought to a head, that directions should be given"
VC00033,Iohn Smyth,uncertain,"APRIL 12, 1621",person_john_smith,Captain John Smith,0.938,,,"APRIL 12, 1621: APRIL 12, 1621 Docto’: Wynston. Mr. Palavacin. Mr.
Peirce. Mr. Cuff. Mr. Iohn Smyth. Mr. Smith. Mr. Barbor. Mr. Canninge. Mr.
Moone. Mr. Leaver. Mr. Widdowes. Mr. Woodall. Mr. Keightly. Mr. Bull. Mr.
Meuerell. Sir Edwyn Sandys being desired to make reporte what had been done
concerning the new Patent, signifie || MAY 12, 1621: RDINARY COURT HELD FOR
VIRGINIA THE 12 of May 1621 PRESENT: Sr. Iohn Dauers, Mr. Gibbs, Mr.
Casewell, Sr. Henry Rainsford, Capt. William Newce, Mr. Edwards, Mr. Deputy
Ferrar, Mr. George Sandys, Mr. Wheatly, Mr. Iohn Wroth, Mr. Iohn Smyth, Mr.
Melling, Mr. Wrote, Capt. Tucker, Mr. Cuff, Mr. Combe. Whereas at the last
Quarter Court held the second of this present month, order was given to
certain Committees for drawing up of a Commission to be sealed. Commission"
VC00034,John Smyth,needs_review,"September 30, 1619",person_john_smith,Captain John Smith,1,,,"September 30, 1619: rk Library is to be found a unique set of documents
relating to the settlement of Berkeley Hundred in 1619, known as the Smyth of
Nibley papers which “are from the collection of Virginia manuscripts
originally brought together by John Smyth (or Smith) of Nibley, the historian
of the Berkeleys, who was born in 1567 and died in 1641. The collection
comprises over sixty papers, original and contemporary transcripts, relating
to the settlement of Virginia between 1613 a"
VC00035,Thomas Smiths,uncertain,"FEBRUARY 27, 1622",person_thomas_smythe,Sir Thomas Smythe,0.875,,,"FEBRUARY 27, 1622: FEBRUARY 27, 1622 Whereas it was moved that Henry
Mansell hath by his Petition to my Lord Keeper declared that this Company
were indebted vnto him in 60£ above these 6 yeares in Sr. Thomas Smiths time
and yet it did no waye appeare, and that Mr. Caninge pretended that this
Company were likewise indebted vnto him; but for somuch as the said Mr.
Caninge had received diuers Somes of money out of the Virginia Cash, others
by || MARCH 20, 1622: MARCH 20, 1622 Virginia Court booke might be brought to
Sr. Thomas Smiths for the appointed Commissions to peruse those orders
whereby Henry Mansell pretendeth he was imployed: he was advised by some of
the Counsell then present when that letter came to him to acquaint the Court
first therewith in resp"
VC00041,Georg Smith,reject,"OCTOBER 24, 1621",person_john_smith,Captain John Smith,0.8,,,"OCTOBER 24, 1621: Mr. Berblock. Mr. Baynam. Doctor Winstone. Mr. Blande.
Mr. Bolton. Mr. Robert Smith. Mr. Bull. Mr. Meuerell. Mr. Iohn Smith. Mr.
Bennett. Mr. Morewoode. Mr. Nich: Ferrar. Mr. Ayres. Mr. Lambe. Captaine
Bargraue. Mr. Wiseman. Mr. Georg Smith. Mr. Tomlynis. Mr. Darnelly. Mr.
Roberté. Mr. Stewarde. Mr. Caswell. Mr. Webb. Mr. Rogers. Mr. Couell. Mr.
Fogge. Mr. Edwards. Mr. Barbor. With Divers Others. The aunswere of the
Virginia Company to the Right Honourable the Lord"
VC00047,Martha Ferrar,reject,"November 12, 1624",person_john_ferrar,John Ferrar,0.792,,,"November 12, 1624: re the property of Dr. Peckard, master of Magdalen
College in 1790, and were bequeathed to the college upon his death. It is
probable that the greater part of the collection came from the Ferrar family
through Dr. Peckard’s wife, Martha Ferrar, the great grand-daughter of John
Ferrar, since the Virginia papers form but one-third of the group. The
remaining papers concern family affairs only, and date from 1601 to the
middle of the eighteenth century. Some of them are d"
VC00048,Michael Lloyd Ferrar,reject,"November 12, 1624",person_nicholas_ferrar,Nicholas Ferrar,0.844,,,"November 12, 1624: btless those received from the Earl of Dorset by Dr.
Peckard, when he was preparing his Memoirs of Nicholas Ferrar. The first
knowledge of the Ferrar papers in later years was communicated to the
Virginia Magazine of History by Michael Lloyd Ferrar, Little Gidding, Ealing,
England. He sent a number of transcripts and photographs of letters to the
magazine for publication, among which were some half dozen bearing on the
affairs of the company, but the number which he was per"
VC00050,Smiths,uncertain,"JUNE 11, 1621",person_thomas_smythe,Sir Thomas Smythe,0.833,,,"JUNE 11, 1621: rawe the Articles of agreement according hereunto with
such necessary additions as he should thinke fitt, and after to apply the
Companies Seale unto the same. Mr. Iohn Smith acquainted the Company that
there was a Gentleman, Mr. Smiths motion, of good Account and sufficiency
whom he could name who would undertake to procure and transport to Virginia
at an easie rate (if so the Company please) a good number of young men and
maids able to do them good service the"
VC00051,Smyth,uncertain,"JANUARY 29, 1620",person_thomas_smythe,Sir Thomas Smythe,1,,,"JANUARY 29, 1620: ndish, Sir John Dauers, Lord Pagett, Sir Francis Wyate,
Sir Edward Sackville, Sir Walter Karle, Mr. Deputy Ferrar, Mr. Zouch, Mr.
Bearblock, Mr. Gibbe, Mr. Tucker, Mr. Casewell, Mr. Wroth, Mr. Tomlin, Mr.
Mellinge, Mr. Earle, Mr. Smyth, Mr. Cuffe, Mr. George Sandys, Mr. Nicholas
Ferrar, Mr. Combe, Mr. Doctor Anthony, Mr. Ditchfield, Mr. Baynham, Mr.
Sheppard, Mr. Seaward, Mr. Wyddowes, Mr. Bromefield, Mr. Wheately, Mr.
Sparrowe, Mr. Newport, Mr. Kightley, with"
VC00052,Wyatt,uncertain,"JULY 10, 1621",person_francis_wyatt,Sir Francis Wyatt,1,,,"JULY 10, 1621: with about the same, who are to make reporte how it may be
done without too great charge vnto the Company. It was signified that the
Ladie Lawarr desired the Court would please to grant her a Commission
directed to Sr. Fraunces Wyatt, Mr. sending his bill is referred to the
Committee. My Lady Lawarra requests to grant her a Commission to George
Sandys and others to examine and certifie as well what goods and money of her
late husband deceased came to the hand"
